,Activation,# of Neurons in hidden unit 1,# of Neurons in hidden unit 2,Alpha,Learning Rate,Accuracy Score,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,Time Taken
97,logistic,5,5,0.0001,0.01,0.5796996124031008,0.589837496968227,0.588222525556201,0.5004459950988702,0.5796996124031008,0.36856888821493106,0.42659224601444484,0.73396
98,logistic,5,5,0.0001,0.001,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.59382
99,logistic,5,5,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.74843
100,logistic,5,5,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.61372
101,logistic,5,5,0.001,0.001,0.8231589147286822,0.8197256156727517,0.8225550681610563,0.8158126936177428,0.8231589147286822,0.8175144556136178,0.8226146831335657,2.97227
102,logistic,5,10,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.7625
103,logistic,5,10,0.0001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.96212
104,logistic,5,10,0.0001,0.001,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.51011
105,logistic,5,10,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.32737
106,logistic,5,10,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.00095
107,logistic,5,10,0.001,0.001,0.8163759689922481,0.811532449004371,0.8191703074467924,0.8163579057688455,0.8163759689922481,0.8132270301451292,0.8170809553013046,2.74419
108,logistic,5,20,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.68961
109,logistic,5,20,0.0001,0.01,0.8190406976744186,0.8232024238105553,0.8209235487310013,0.8036494536319221,0.8190406976744186,0.8094304728585373,0.8162312360507898,2.63716
110,logistic,5,20,0.0001,0.001,0.8197674418604651,0.8147664766237677,0.8207530335494494,0.8172306305195506,0.8197674418604651,0.8158510802867014,0.8201187433969821,4.39582
111,logistic,5,20,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.70695
112,logistic,5,20,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.0555
113,logistic,5,20,0.001,0.001,0.8187984496124031,0.8140102890810518,0.8189490206982947,0.8144987901299262,0.8187984496124031,0.8142494514249716,0.8188688675410012,3.87221
114,logistic,5,50,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.28847
115,logistic,5,50,0.0001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,2.34152
116,logistic,5,50,0.0001,0.001,0.8248546511627907,0.8213768743391724,0.824279446344635,0.8177498343171554,0.8248546511627907,0.8193434683109387,0.8243578038876584,9.46368
117,logistic,5,50,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,2.29848
